seq_name	label
TRE(AFS)	1
EU599343	1
JF740071	1
05_151	1
ABU90648	1
ABU90679	1
0610195A	1
99_144	1
MEV	1
KY471433	1
EF589532	1
WIND	1
THO	1
EU599349	1
CAB	1
JF740065	1
LW	1
AF115357	1
EU599331	1
A49134(LCDD)	1
AF026933	1
AF462664	1
EF589498	1
EF589383	1
HAC	1
EF589485	1
AF320835	1
P01709	1
EF589547	1
EF589476	1
AF320843	1
ABU90711	1
EF589433	1
EF589508	1
AF490947	1
AAD09370	1
AAC97096	1
JF740073	1
AF462658	1
21909811_AL_T13	1
EF589384	1
ABU90566	1
AIR	1
A42193_1	1
AF462648	1
EF589531	1
EU599341	1
EF589414	1
EF589523	1
EF589431	1
AF490933	1
ABU90577	1
GARN	1
X64133	1
GIO	1
AF462657	1
AAA79238	1
ABU90698	1
S03876	1
21215335_ALkappa6	1
AF462650	1
EF589434	1
EF589569	1
ABU90568	1
EF589443	1
AF462687	1
EF589429	1
AF490922	1
HQ172152	1
HQ172125	1
EF589456	1
EU599334	1
00_003	1
AF462688	1
EF589537	1
EZI	1
AM113	1
ABU90636	1
Z22188(HUMLV1L1)	1
CROS	1
AF026929	1
P83593	1
ABU90637	1
JF740068	1
J00248(L1)	1
NIG84	1
EU599347	1
AF320836	1
ABU90588	1
EPP	1
AAC97082	1
Z73673	1
EF589549	1
AF490967	1
ABU90567	1
HQ172149	1
AF115355	1
AF490918	1
AF026926	1
ABU90665	1
07_125	1
MH	1
A29700	1
05_133	1
ABU90571	1
EF589546	1
EU599336	1
AF124184	1
MH996886	1
EF589515	1
CHEB(AFS)	1
AAC97100	1
AF462677	1
NIG96(AFS)	1
06_085	1
05_109	1
AF026920	1
EF589566	1
HQ172146	1
HQ172131	1
AF124177	1
06_082	1
EF589559	1
X93632	1
EF589558	1
EU599344	1
P06888	1
BRE	1
ABU90693	1
EF589393	1
EF589468	1
EF589458	1
AF462647	1
EU599328	1
ABU90553	1
28031465_lambdaAL1	1
ABU90621	1
HQ172143	1
ABU90663	1
06_097	1
AF490952	1
04_054	1
ZIM	1
EF589571	1
MH996885	1
AAC97078	1
MH794512	1
00_137	1
AF462678	1
HIG	1
AAC97094	1
MH670901	1
EF589421	1
01_031	1
ABU90664	1
ABU90713	1
AAC97085	1
ABU90682	1
HQ172127	1
ABU90617	1
EU599337	1
EF589432	1
AF490945	1
HQ172128	1
EF589524	1
07_127	1
1CD0_A	1
EF589499	1
AF462659	1
HQ172130	1
ABU90545	1
AF054641	1
EF589565	1
AF462689	1
LONG	1
ABU90635	1
EF589417	1
EF589555	1
ABU90624	1
21215335_ALlambda5	1
EF589533	1
HQ172155	1
AAD09367	1
L2HUNG	1
1EK3_A_1	1
06_107	1
ABU90697	1
ABU90655	1
AF462685	1
MH996890	1
AAC97083	1
AF099676	1
MH986050	1
ABU90639	1
COZ	1
AF490913	1
EF589416	1
AF462679	1
ABU90633	1
DQ240235	1
EF589500	1
EF589406	1
HQ172147	1
EF589449	1
EF589548	1
ABU90576	1
KC433671	1
AAC97102	1
AF462686	1
AAD29294	1
AF490941	1
AF124195	1
ABU90582	1
SUT	1
X93640(B3)	1
EF589503	1
EF589539	1
EF589527	1
ABU90593	1
EF589464	1
EF589391	1
AF490955	1
Z22191	1
EF589390	1
HQ172133	1
EF589394	1
ABU90570	1
AF115349	1
EF589454	1
EU599321	1
SO124	1
AF124192	1
HQ172121	1
ABU90597	1
AF490962	1
AF462672	1
EF589426	1
Loc(MCN)	1
ABU90646	1
AF490966	1
AF462663	1
AF490920	1
COL	1
EU599351	1
AY701649	1
06_129	1
EF589564	1
EF589444	1
KY432418	1
AF490916	1
GRI	1
EF589507	1
MUM	1
ABU90691	1
05_009	1
JF740069	1
1JVK_A	1
REV	1
AF490921	1
05_086	1
AF490935	1
1002833A	1
EF589516	1
ABU90657	1
AF124185	1
HQ172114	1
MH979647	1
ABU90618	1
EU599345	1
AF462653	1
AF490960	1
EU599355	1
EF589510	1
EF589422	1
CRO2(MCN)	1
HQ172134	1
99_059	1
EF589480	1
DQ240234	1
AF124194	1
01_043	1
HQ172151	1
JF740070	1
EF589568	1
01_146	1
EU599340	1
AF124191	1
EF589465	1
NIG68(AFS)	1
JF740064	1
AF320834	1
AF490958	1
NIG95	1
AF490925	1
AF462655	1
EU599357	1
EF589450	1
EF589494	1
AAD29293	1
HQ172112	1
WAT(MCN)	1
ABU90605	1
AF124167	1
JF740075	1
EF589466	1
AF026932	1
AF124188	1
EU599339	1
EU599327	1
HQ172129	1
